match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1000851,Test,2016/17,2016/11/03,South Africa in Australia Test Series,1,Australia,South Africa,South Africa,177 runs,Western Australia Cricket Association Ground,Perth
1000853,Test,2016/17,2016/11/12,South Africa in Australia Test Series,2,Australia,South Africa,South Africa,80 runs,Bellerive Oval,Hobart
1000855,Test,2016/17,2016/11/24,South Africa in Australia Test Series,3,Australia,South Africa,Australia,7 wickets,Adelaide Oval,
1000881,Test,2016/17,2016/12/15,Pakistan in Australia Test Series,1,Australia,Pakistan,Australia,39 runs,"Brisbane Cricket Ground, Woolloongabba",Brisbane
1000883,Test,2016/17,2016/12/26,Pakistan in Australia Test Series,2,Australia,Pakistan,Australia,18 runs,Melbourne Cricket Ground,
1000885,Test,2016/17,2017/01/03,Pakistan in Australia Test Series,3,Australia,Pakistan,Australia,220 runs,Sydney Cricket Ground,
1019985,Test,2016/17,2017/01/12,Bangladesh in New Zealand Test Series,1,New Zealand,Bangladesh,New Zealand,7 wickets,Basin Reserve,Wellington
1019987,Test,2016/17,2017/01/20,Bangladesh in New Zealand Test Series,2,New Zealand,Bangladesh,New Zealand,9 wickets,Hagley Oval,Christchurch
1019993,Test,2016/17,2016/11/17,Pakistan in New Zealand Test Series,1,New Zealand,Pakistan,New Zealand,8 wickets,Hagley Oval,Christchurch
1019995,Test,2016/17,2016/11/25,Pakistan in New Zealand Test Series,2,New Zealand,Pakistan,New Zealand,138 runs,Seddon Park,Hamilton
1020041,Test,2016/17,2017/03/08,South Africa in New Zealand Test Series,1,New Zealand,South Africa,draw,,University Oval,Dunedin
1020043,Test,2016/17,2017/03/16,South Africa in New Zealand Test Series,2,New Zealand,South Africa,South Africa,8 wickets,Basin Reserve,Wellington
1020045,Test,2016/17,2017/03/25,South Africa in New Zealand Test Series,3,New Zealand,South Africa,draw,,Seddon Park,Hamilton
1022593,Test,2016,2016/07/21,India in West Indies Test Series,1,West Indies,India,India,92 runs,"Sir Vivian Richards Stadium, North Sound",Antigua
1022595,Test,2016,2016/07/30,India in West Indies Test Series,2,West Indies,India,draw,,"Sabina Park, Kingston",Jamaica
1022597,Test,2016,2016/08/09,India in West Indies Test Series,3,West Indies,India,India,237 runs,"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia
1022599,Test,2016,2016/08/18,India in West Indies Test Series,4,West Indies,India,draw,,"Queen's Park Oval, Port of Spain",Trinidad
1024041,Test,2016,2016/07/28,New Zealand in Zimbabwe Test Series,1,Zimbabwe,New Zealand,New Zealand,117 runs,Queens Sports Club,Bulawayo
1024043,Test,2016,2016/08/06,New Zealand in Zimbabwe Test Series,2,Zimbabwe,New Zealand,New Zealand,254 runs,Queens Sports Club,Bulawayo
1029825,Test,2016/17,2016/10/20,England in Bangladesh Test Series,1,Bangladesh,England,England,22 runs,Zahur Ahmed Chowdhury Stadium,Chittagong
1029827,Test,2016/17,2016/10/28,England in Bangladesh Test Series,2,Bangladesh,England,Bangladesh,108 runs,Shere Bangla National Stadium,Mirpur
1030213,Test,2016/17,2016/09/22,New Zealand in India Test Series,1,India,New Zealand,India,197 runs,Green Park,Kanpur
1030215,Test,2016/17,2016/09/30,New Zealand in India Test Series,2,India,New Zealand,India,178 runs,Eden Gardens,Kolkata
1030217,Test,2016/17,2016/10/08,New Zealand in India Test Series,3,India,New Zealand,India,321 runs,Holkar Cricket Stadium,Indore
1031437,Test,2017,2017/07/06,Basil D'Oliveira Trophy,1,England,South Africa,England,211 runs,Lord's,London
1031439,Test,2017,2017/07/14,South Africa tour of England,2,South Africa,England,South Africa,340 runs,Trent Bridge,Nottingham
1031441,Test,2017,2017/07/27,South Africa tour of England,3,England,South Africa,England,239 runs,Kennington Oval,London
1031443,Test,2017,2017/08/04,South Africa tour of England,4,England,South Africa,England,177 runs,Old Trafford,Manchester
1031659,Test,2017,2017/08/17,West Indies tour of England,1,England,West Indies,England,209 runs,Edgbaston,Birmingham
1031661,Test,2017,2017/08/25,West Indies tour of England,2,England,West Indies,West Indies,5 wickets,Headingley,Leeds
1031663,Test,2017,2017/09/07,West Indies tour of England,3,West Indies,England,England,9 wickets,Lord's,London
1034809,Test,2016/17,2016/11/09,England in India Test Series,1,India,England,draw,,Saurashtra Cricket Association Stadium,Rajkot
1034811,Test,2016/17,2016/11/17,England in India Test Series,2,India,England,India,246 runs,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
1034813,Test,2016/17,2016/11/26,England in India Test Series,3,India,England,India,8 wickets,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
1034815,Test,2016/17,2016/12/08,England in India Test Series,4,India,England,India,36 runs,Wankhede Stadium,Mumbai
1034817,Test,2016/17,2016/12/16,England in India Test Series,5,India,England,India,75 runs,"MA Chidambaram Stadium, Chepauk",Chennai
1041761,Test,2016/17,2017/02/09,,,India,Bangladesh,India,208 runs,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1050229,Test,2016/17,2016/10/13,Pakistan v West Indies Test Series,1,Pakistan,West Indies,Pakistan,56 runs,Dubai International Cricket Stadium,
1050231,Test,2016/17,2016/10/21,Pakistan v West Indies Test Series,2,Pakistan,West Indies,Pakistan,133 runs,Sheikh Zayed Stadium,Abu Dhabi
1050233,Test,2016/17,2016/10/30,Pakistan v West Indies Test Series,3,Pakistan,West Indies,West Indies,5 wickets,Sharjah Cricket Stadium,
1059702,Test,2016/17,2016/10/29,Sri Lanka in Zimbabwe Test Series,1,Zimbabwe,Sri Lanka,Sri Lanka,225 runs,Harare Sports Club,
1059703,Test,2016/17,2016/11/06,Sri Lanka in Zimbabwe Test Series,2,Zimbabwe,Sri Lanka,Sri Lanka,257 runs,Harare Sports Club,
1062573,Test,2016/17,2017/02/23,Australia in India Test Series,1,India,Australia,Australia,333 runs,Maharashtra Cricket Association Stadium,Pune
1062574,Test,2016/17,2017/03/04,Border-Gavaskar Trophy,2,India,Australia,India,75 runs,M Chinnaswamy Stadium,Bengaluru
1062575,Test,2016/17,2017/03/16,Border-Gavaskar Trophy,3,India,Australia,draw,,JSCA International Stadium Complex,Ranchi
1062576,Test,2016/17,2017/03/25,Border-Gavaskar Trophy,4,India,Australia,India,8 wickets,Himachal Pradesh Cricket Association Stadium,Dharamsala
1072305,Test,2017/18,2017/11/23,England tour of Australia and New Zealand,1,England,Australia,Australia,10 wickets,"Brisbane Cricket Ground, Woolloongabba",Brisbane
1072306,Test,2017/18,2017/12/02,England tour of Australia and New Zealand,2,Australia,England,Australia,120 runs,Adelaide Oval,
1072307,Test,2017/18,2017/12/14,England tour of Australia and New Zealand,3,England,Australia,Australia,41 runs,W.A.C.A. Ground,Perth
1072308,Test,2017/18,2017/12/26,England tour of Australia and New Zealand,4,Australia,England,draw,,Melbourne Cricket Ground,
1072309,Test,2017/18,2018/01/04,England tour of Australia and New Zealand,5,England,Australia,Australia,123 runs,Sydney Cricket Ground,
1075502,Test,2017/18,2017/09/28,Bangladesh tour of South Africa,1,South Africa,Bangladesh,South Africa,333 runs,Senwes Park,Potchefstroom
1075503,Test,2017/18,2017/10/06,Bangladesh tour of South Africa,2,South Africa,Bangladesh,South Africa,254 runs,Mangaung Oval,Bloemfontein
1075982,Test,2017/18,2018/03/01,Australia tour of South Africa,1,Australia,South Africa,Australia,118 runs,Kingsmead,Durban
1075983,Test,2017/18,2018/03/09,Australia tour of South Africa,2,Australia,South Africa,South Africa,6 wickets,St George's Park,Port Elizabeth
1075984,Test,2017/18,2018/03/22,Australia tour of South Africa,3,South Africa,Australia,South Africa,322 runs,Newlands,Cape Town
1075985,Test,2017/18,2018/03/30,Australia tour of South Africa,4,South Africa,Australia,South Africa,492 runs,The Wanderers Stadium,Johannesburg
1077953,Test,2017,2017/04/21,Pakistan in West Indies Test Series,1,West Indies,Pakistan,Pakistan,7 wickets,"Sabina Park, Kingston",Jamaica
1077954,Test,2017,2017/04/30,Pakistan in West Indies Test Series,2,West Indies,Pakistan,West Indies,106 runs,"Kensington Oval, Bridgetown",Barbados
1077955,Test,2017,2017/05/10,Pakistan in West Indies Test Series,3,West Indies,Pakistan,Pakistan,101 runs,"Windsor Park, Roseau",Dominica
1083444,Test,2016/17,2017/03/07,Bangladesh in Sri Lanka Test Series,1,Sri Lanka,Bangladesh,Sri Lanka,259 runs,Galle International Stadium,
1083445,Test,2016/17,2017/03/15,Bangladesh in Sri Lanka Test Series,2,Sri Lanka,Bangladesh,Bangladesh,4 wickets,P Sara Oval,Colombo
1104284,Test,2017,2017/08/27,Australia tour of Bangladesh,1,Bangladesh,Australia,Bangladesh,20 runs,"Shere Bangla National Stadium, Mirpur",Dhaka
1104285,Test,2017,2017/09/04,Australia tour of Bangladesh,2,Bangladesh,Australia,Australia,7 wickets,Zahur Ahmed Chowdhury Stadium,Chattogram
1104483,Test,2017,2017/07/14,Zimbabwe tour of Sri Lanka,,Zimbabwe,Sri Lanka,Sri Lanka,4 wickets,"R.Premadasa Stadium, Khettarama",Colombo
1109602,Test,2017,2017/07/26,India tour of Sri Lanka,1,India,Sri Lanka,India,304 runs,Galle International Stadium,
1109603,Test,2017,2017/08/03,India tour of Sri Lanka,2,India,Sri Lanka,India,53 runs,Sinhalese Sports Club Ground,Colombo
1109604,Test,2017,2017/08/12,India tour of Sri Lanka,3,India,Sri Lanka,India,171 runs,Pallekele International Cricket Stadium,
1115780,Test,2017/18,2018/03/22,England tour of Australia and New Zealand,1,England,New Zealand,New Zealand,49 runs,Eden Park,Auckland
1115781,Test,2017/18,2018/03/30,England tour of Australia and New Zealand,2,England,New Zealand,draw,,Hagley Oval,Christchurch
1115793,Test,2017/18,2017/12/01,West Indies tour of New Zealand,1,West Indies,New Zealand,New Zealand,67 runs,Basin Reserve,Wellington
1115794,Test,2017/18,2017/12/09,West Indies tour of New Zealand,2,New Zealand,West Indies,New Zealand,240 runs,Seddon Park,Hamilton
1119535,Test,2018,2018/05/24,"Pakistan tour of Ireland, England and Scotland",1,England,Pakistan,Pakistan,9 wickets,Lord's,London
1119536,Test,2018,2018/06/01,"Pakistan tour of Ireland, England and Scotland",2,Pakistan,England,England,55 runs,Headingley,Leeds
1119549,Test,2018,2018/08/01,India tour of Ireland and England,1,England,India,England,31 runs,Edgbaston,Birmingham
1119550,Test,2018,2018/08/09,India tour of Ireland and England,2,India,England,England,159 runs,Lord's,London
1119551,Test,2018,2018/08/18,India tour of Ireland and England,3,India,England,India,203 runs,Trent Bridge,Nottingham
1119552,Test,2018,2018/08/30,India tour of Ireland and England,4,England,India,England,60 runs,The Rose Bowl,Southampton
1119553,Test,2018,2018/09/07,India tour of Ireland and England,5,England,India,England,118 runs,Kennington Oval,London
1120284,Test,2017/18,2017/09/28,Sri Lanka tour of United Arab Emirates and Pakistan,1,Sri Lanka,Pakistan,Sri Lanka,21 runs,Sheikh Zayed Stadium,Abu Dhabi
1120285,Test,2017/18,2017/10/06,Sri Lanka tour of United Arab Emirates and Pakistan,2,Sri Lanka,Pakistan,Sri Lanka,68 runs,Dubai International Cricket Stadium,
1122276,Test,2017/18,2018/01/05,India tour of South Africa,1,South Africa,India,South Africa,72 runs,Newlands,Cape Town
1122277,Test,2017/18,2018/01/13,India tour of South Africa,2,South Africa,India,South Africa,135 runs,SuperSport Park,Centurion
1122278,Test,2017/18,2018/01/24,India tour of South Africa,3,India,South Africa,India,63 runs,The Wanderers Stadium,Johannesburg
1122310,Test,2017/18,2017/12/26,Zimbabwe tour of South Africa,,South Africa,Zimbabwe,South Africa,120 runs,"St George's Park, Port Elizabeth",Port Elizabeth
1122723,Test,2017/18,2017/11/16,Sri Lanka tour of India,1,India,Sri Lanka,draw,,Eden Gardens,Kolkata
1122724,Test,2017/18,2017/11/24,Sri Lanka tour of India,2,Sri Lanka,India,India,239 runs,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
1122725,Test,2017/18,2017/12/02,Sri Lanka tour of India,3,India,Sri Lanka,draw,,Arun Jaitley Stadium,Delhi
1122886,Test,2017/18,2017/10/21,West Indies tour of Zimbabwe,1,West Indies,Zimbabwe,West Indies,117 runs,Queens Sports Club,Bulawayo
1122887,Test,2017/18,2017/10/29,West Indies tour of Zimbabwe,2,Zimbabwe,West Indies,draw,,Queens Sports Club,Bulawayo
1127284,Test,2018,2018/05/11,"Pakistan tour of Ireland, England and Scotland",,Ireland,Pakistan,Pakistan,5 wickets,"The Village, Malahide",Dublin
1130744,Test,2017/18,2018/01/31,Sri Lanka tour of Bangladesh,1,Bangladesh,Sri Lanka,draw,,Zahur Ahmed Chowdhury Stadium,Chattogram
1130745,Test,2017/18,2018/02/08,Sri Lanka tour of Bangladesh,2,Sri Lanka,Bangladesh,Sri Lanka,215 runs,"Shere Bangla National Stadium, Mirpur",Dhaka
1135149,Test,2018,2018/06/06,Sri Lanka tour of West Indies,1,West Indies,Sri Lanka,West Indies,226 runs,"Queen's Park Oval, Port of Spain",Trinidad
1135150,Test,2018,2018/06/14,Sri Lanka tour of West Indies,2,Sri Lanka,West Indies,draw,,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia
1135151,Test,2018,2018/06/23,Sri Lanka tour of West Indies,3,West Indies,Sri Lanka,Sri Lanka,4 wickets,"Kensington Oval, Bridgetown",Barbados
1140385,Test,2018/19,2018/11/06,England tour of Sri Lanka,1,England,Sri Lanka,England,211 runs,Galle International Stadium,
1140386,Test,2018/19,2018/11/14,England tour of Sri Lanka,2,England,Sri Lanka,England,57 runs,Pallekele International Cricket Stadium,
1140387,Test,2018/19,2018/11/23,England tour of Sri Lanka,3,England,Sri Lanka,England,42 runs,Sinhalese Sports Club Ground,Colombo
1142581,Test,2018,2018/07/12,South Africa tour of Sri Lanka,1,Sri Lanka,South Africa,Sri Lanka,278 runs,Galle International Stadium,
1142582,Test,2018,2018/07/20,South Africa tour of Sri Lanka,2,Sri Lanka,South Africa,Sri Lanka,199 runs,Sinhalese Sports Club Ground,Colombo
1144153,Test,2018/19,2018/12/26,Pakistan tour of South Africa,1,South Africa,Pakistan,South Africa,6 wickets,SuperSport Park,Centurion
1144154,Test,2018/19,2019/01/03,Pakistan tour of South Africa,2,South Africa,Pakistan,South Africa,9 wickets,Newlands,Cape Town
1144155,Test,2018/19,2019/01/11,Pakistan tour of South Africa,3,South Africa,Pakistan,South Africa,107 runs,The Wanderers Stadium,Johannesburg
1144164,Test,2018/19,2019/02/13,Sri Lanka tour of South Africa,1,South Africa,Sri Lanka,Sri Lanka,1 wickets,Kingsmead,Durban
1144165,Test,2018/19,2019/02/21,Sri Lanka tour of South Africa,2,South Africa,Sri Lanka,Sri Lanka,8 wickets,St George's Park,Port Elizabeth
1144993,Test,2018/19,2018/12/06,India tour of Australia,1,India,Australia,India,31 runs,Adelaide Oval,
1144994,Test,2018/19,2018/12/14,India tour of Australia,2,Australia,India,Australia,146 runs,Perth Stadium,
1144995,Test,2018/19,2018/12/26,India tour of Australia,3,Australia,India,India,137 runs,Melbourne Cricket Ground,Melbourne
1144996,Test,2018/19,2019/01/03,India tour of Australia,4,Australia,India,draw,,Sydney Cricket Ground,Sydney
1145000,Test,2018/19,2019/01/24,Sri Lanka tour of Australia,1,Australia,Sri Lanka,Australia,40 runs,"Brisbane Cricket Ground, Woolloongabba",Brisbane
1145001,Test,2018/19,2019/02/01,Sri Lanka tour of Australia,2,Australia,Sri Lanka,Australia,366 runs,Manuka Oval,Canberra
1146717,Test,2018,2018/07/04,Bangladesh tour of West Indies and United States of America,1,Bangladesh,West Indies,West Indies,219 runs,Sir Vivian Richards Stadium,North Sound
1146718,Test,2018,2018/07/12,Bangladesh tour of West Indies and United States of America,2,West Indies,Bangladesh,West Indies,166 runs,"Sabina Park, Kingston",Jamaica
1152839,Test,2019,2019/07/24,Ireland tour of England,,England,Ireland,England,143 runs,Lord's,London
1152846,Test,2019,2019/08/01,The Ashes,1,England,Australia,Australia,251 runs,Edgbaston,Birmingham
1152847,Test,2019,2019/08/14,The Ashes,2,England,Australia,draw,,Lord's,London
1152848,Test,2019,2019/08/22,The Ashes,3,England,Australia,England,1 wickets,Headingley,Leeds
1152849,Test,2019,2019/09/04,The Ashes,4,England,Australia,Australia,185 runs,Old Trafford,Manchester
1152850,Test,2019,2019/09/12,The Ashes,5,England,Australia,England,135 runs,Kennington Oval,London
1153311,Test,2018/19,2018/11/22,West Indies tour of Bangladesh,1,Bangladesh,West Indies,Bangladesh,64 runs,Zahur Ahmed Chowdhury Stadium,Chattogram
1153312,Test,2018/19,2018/11/30,West Indies tour of Bangladesh,2,Bangladesh,West Indies,Bangladesh,184 runs,"Shere Bangla National Stadium, Mirpur",Dhaka
1153639,Test,2018/19,2018/11/03,Zimbabwe tour of Bangladesh,1,Zimbabwe,Bangladesh,Zimbabwe,151 runs,Sylhet International Cricket Stadium,
1153640,Test,2018/19,2018/11/11,Zimbabwe tour of Bangladesh,2,Bangladesh,Zimbabwe,Bangladesh,218 runs,"Shere Bangla National Stadium, Mirpur",Dhaka
1153838,Test,2018/19,2018/12/15,Sri Lanka tour of New Zealand,1,Sri Lanka,New Zealand,draw,,"Basin Reserve, Wellington",Wellington
1153839,Test,2018/19,2018/12/26,Sri Lanka tour of New Zealand,2,New Zealand,Sri Lanka,New Zealand,423 runs,Hagley Oval,Christchurch
1153847,Test,2018/19,2019/02/28,Bangladesh tour of New Zealand,1,New Zealand,Bangladesh,New Zealand,52 runs,Seddon Park,Hamilton
1153848,Test,2018/19,2019/03/08,Bangladesh tour of New Zealand,2,New Zealand,Bangladesh,New Zealand,12 runs,Basin Reserve,Wellington
1157370,Test,2018/19,2018/10/07,Australia tour of United Arab Emirates,1,Pakistan,Australia,draw,,Dubai International Cricket Stadium,
1157371,Test,2018/19,2018/10/16,Australia tour of United Arab Emirates,2,Pakistan,Australia,Pakistan,373 runs,Sheikh Zayed Stadium,Abu Dhabi
1157381,Test,2018/19,2018/11/16,New Zealand tour of United Arab Emirates,1,New Zealand,Pakistan,New Zealand,4 runs,Sheikh Zayed Stadium,Abu Dhabi
1157382,Test,2018/19,2018/11/24,New Zealand tour of United Arab Emirates,2,Pakistan,New Zealand,Pakistan,16 runs,Dubai International Cricket Stadium,
1157383,Test,2018/19,2018/12/03,New Zealand tour of United Arab Emirates,3,New Zealand,Pakistan,New Zealand,123 runs,Sheikh Zayed Stadium,Abu Dhabi
1157752,Test,2018/19,2018/10/04,West Indies tour of India,1,India,West Indies,India,272 runs,Saurashtra Cricket Association Stadium,Rajkot
1157753,Test,2018/19,2018/10/12,West Indies tour of India,2,West Indies,India,India,10 wickets,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1158062,Test,2018/19,2019/01/23,England tour of West Indies,1,West Indies,England,West Indies,381 runs,"Kensington Oval, Barbados",Bridgetown
1158063,Test,2018/19,2019/01/31,England tour of West Indies,2,West Indies,England,West Indies,10 wickets,"Sir Vivian Richards Stadium, Antigua",North Sound
1158064,Test,2018/19,2019/02/09,England tour of West Indies,3,West Indies,England,England,232 runs,"Daren Sammy National Cricket Stadium, St Lucia",Gros Islet
1183530,Test,2019/20,2019/11/21,Pakistan in Australia Test Series,1,Australia,Pakistan,Australia,5 runs,"Brisbane Cricket Ground, Woolloongabba",Brisbane
1183531,Test,2019/20,2019/11/29,Pakistan in Australia Test Series,2,Australia,Pakistan,Australia,48 runs,Adelaide Oval,Adelaide
1183532,Test,2019/20,2019/12/12,Trans-Tasman Trophy,1,Australia,New Zealand,Australia,296 runs,Perth Stadium,Perth
1183533,Test,2019/20,2019/12/26,Trans-Tasman Trophy,2,Australia,New Zealand,Australia,247 runs,Melbourne Cricket Ground,Melbourne
1183534,Test,2019/20,2020/01/03,Trans-Tasman Trophy,3,Australia,New Zealand,Australia,279 runs,Sydney Cricket Ground,Sydney
1185304,Test,2019/20,2019/12/26,Basil D'Oliveira Trophy,1,South Africa,England,South Africa,107 runs,SuperSport Park,Centurion
1185305,Test,2019/20,2020/01/03,Basil D'Oliveira Trophy,2,South Africa,England,England,189 runs,Newlands,Cape Town
1185306,Test,2019/20,2020/01/16,Basil D'Oliveira Trophy,3,South Africa,England,England,53 runs,St George's Park,Port Elizabeth
1185307,Test,2019/20,2020/01/24,Basil D'Oliveira Trophy,4,South Africa,England,England,191 runs,The Wanderers Stadium,Johannesburg
1187007,Test,2019/20,2019/10/02,South Africa in India Test Series,1,India,South Africa,India,203 runs,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
1187008,Test,2019/20,2019/10/10,South Africa in India Test Series,2,India,South Africa,India,137 runs,Maharashtra Cricket Association Stadium,Pune
1187009,Test,2019/20,2019/10/19,South Africa in India Test Series,3,India,South Africa,India,202 runs,JSCA International Stadium Complex,Ranchi
1187016,Test,2019/20,2019/11/14,Bangladesh in India Test Series,1,India,Bangladesh,India,130 runs,Holkar Cricket Stadium,Indore
1187017,Test,2019/20,2019/11/22,Bangladesh in India Test Series,2,India,Bangladesh,India,46 runs,Eden Gardens,Kolkata
1187671,Test,2019/20,2019/11/21,England in New Zealand Test Series,1,New Zealand,England,New Zealand,65 runs,Bay Oval,Mount Maunganui
1187672,Test,2019/20,2019/11/29,England in New Zealand Test Series,2,New Zealand,England,draw,,Seddon Park,Hamilton
1187685,Test,2019/20,2020/02/21,India in New Zealand Test Series,1,New Zealand,India,New Zealand,10 wickets,Basin Reserve,Wellington
1187686,Test,2019/20,2020/02/29,India in New Zealand Test Series,2,New Zealand,India,New Zealand,7 wickets,Hagley Oval,Christchurch
1188628,Test,2019,2019/08/22,India in West Indies Test Series,1,West Indies,India,India,318 runs,"Sir Vivian Richards Stadium, Antigua",North Sound
1188629,Test,2019,2019/08/30,India in West Indies Test Series,2,West Indies,India,India,257 runs,"Sabina Park, Jamaica",Kingston
1192873,Test,2019,2019/08/14,New Zealand in Sri Lanka Test Series,1,Sri Lanka,New Zealand,Sri Lanka,6 wickets,Galle International Stadium,Galle
1192874,Test,2019,2019/08/22,New Zealand in Sri Lanka Test Series,2,Sri Lanka,New Zealand,New Zealand,65 runs,P Sara Oval,Colombo
1198241,Test,2020,2020/08/05,Pakistan tour of England,1,Pakistan,England,England,3 wickets,Old Trafford,Manchester
1198242,Test,2020,2020/08/13,Pakistan tour of England,2,Pakistan,England,draw,,The Rose Bowl,Southampton
1198243,Test,2020,2020/08/21,Pakistan tour of England,3,England,Pakistan,draw,,The Rose Bowl,Southampton
1206635,Test,2019/20,2019/12/11,Sri Lanka in Pakistan Test Series,1,Pakistan,Sri Lanka,draw,,Rawalpindi Cricket Stadium,Rawalpindi
1206636,Test,2019/20,2019/12/19,Sri Lanka in Pakistan Test Series,2,Pakistan,Sri Lanka,Pakistan,263 runs,National Stadium,Karachi
1212541,Test,2019/20,2020/01/19,Sri Lanka tour of Zimbabwe,1,Zimbabwe,Sri Lanka,Sri Lanka,10 wickets,Harare Sports Club,Harare
1212542,Test,2019/20,2020/01/27,Sri Lanka tour of Zimbabwe,2,Zimbabwe,Sri Lanka,draw,,Harare Sports Club,Harare
1213062,Test,2019/20,2020/02/07,Bangladesh in Pakistan Test Series,1,Pakistan,Bangladesh,Pakistan,44 runs,Rawalpindi Cricket Stadium,Rawalpindi
1214666,Test,2019/20,2020/02/22,Zimbabwe tour of Bangladesh,,Bangladesh,Zimbabwe,Bangladesh,106 runs,"Shere Bangla National Stadium, Mirpur",Dhaka
1223869,Test,2020/21,2020/12/17,India tour of Australia,1,India,Australia,Australia,8 wickets,Adelaide Oval,Adelaide
1223870,Test,2020/21,2020/12/26,India tour of Australia,2,Australia,India,India,8 wickets,Melbourne Cricket Ground,Melbourne
1223871,Test,2020/21,2021/01/07,India tour of Australia,3,Australia,India,draw,,Sydney Cricket Ground,Sydney
1223872,Test,2020/21,2021/01/15,India tour of Australia,4,Australia,India,India,3 wickets,Brisbane Cricket Ground,Brisbane
1225247,Test,2020,2020/07/08,West Indies tour of England,1,England,West Indies,West Indies,4 wickets,The Rose Bowl,Southampton
1225248,Test,2020,2020/07/16,West Indies tour of England,2,England,West Indies,England,113 runs,Old Trafford,Manchester
1225249,Test,2020,2020/07/24,West Indies tour of England,3,England,West Indies,England,269 runs,Old Trafford,Manchester
1233957,Test,2020/21,2020/12/03,West Indies tour of New Zealand,1,New Zealand,West Indies,New Zealand,134 runs,Seddon Park,Hamilton
1233958,Test,2020/21,2020/12/11,West Indies tour of New Zealand,2,New Zealand,West Indies,New Zealand,12 runs,Basin Reserve,Wellington
1233962,Test,2020/21,2020/12/26,Pakistan tour of New Zealand,1,New Zealand,Pakistan,New Zealand,101 runs,Bay Oval,Mount Maunganui
1233963,Test,2020/21,2021/01/03,Pakistan tour of New Zealand,2,Pakistan,New Zealand,New Zealand,176 runs,Hagley Oval,Christchurch
1237356,Test,2020/21,2020/12/26,Sri Lanka tour of South Africa,1,Sri Lanka,South Africa,South Africa,45 runs,SuperSport Park,Centurion
1237357,Test,2020/21,2021/01/03,Sri Lanka tour of South Africa,2,Sri Lanka,South Africa,South Africa,10 wickets,The Wanderers Stadium,Johannesburg
1239543,Test,2021,2021/08/04,India tour of England,1,England,India,draw,,"Trent Bridge, Nottingham",Nottingham
1239544,Test,2021,2021/08/12,India tour of England,2,India,England,India,151 runs,"Lord's, London",London
1239545,Test,2021,2021/08/25,India tour of England,3,India,England,England,76 runs,"Headingley, Leeds",Leeds
1239546,Test,2021,2021/09/02,India tour of England,4,India,England,India,157 runs,"Kennington Oval, London",London
1243015,Test,2020/21,2021/01/14,England tour of Sri Lanka,1,Sri Lanka,England,England,7 wickets,Galle International Stadium,Galle
1243016,Test,2020/21,2021/01/22,England tour of Sri Lanka,2,Sri Lanka,England,England,6 wickets,Galle International Stadium,Galle
1243017,Test,2020/21,2021/01/26,South Africa tour of Pakistan,1,South Africa,Pakistan,Pakistan,7 wickets,National Stadium,Karachi
1243018,Test,2020/21,2021/02/04,South Africa tour of Pakistan,2,Pakistan,South Africa,Pakistan,95 runs,Rawalpindi Cricket Stadium,Rawalpindi
1243384,Test,2020/21,2021/02/05,England tour of India,1,England,India,England,227 runs,MA Chidambaram Stadium,Chennai
1243385,Test,2020/21,2021/02/13,England tour of India,2,India,England,India,317 runs,MA Chidambaram Stadium,Chennai
1243386,Test,2020/21,2021/02/24,England tour of India,3,England,India,India,10 wickets,Narendra Modi Stadium,Ahmedabad
1243387,Test,2020/21,2021/03/04,England tour of India,4,England,India,India,25 runs,Narendra Modi Stadium,Ahmedabad
1244025,Test,2020/21,2021/02/03,West Indies tour of Bangladesh,1,Bangladesh,West Indies,West Indies,3 wickets,Zahur Ahmed Chowdhury Stadium,Chattogram
1244026,Test,2020/21,2021/02/11,West Indies tour of Bangladesh,2,West Indies,Bangladesh,West Indies,17 runs,Shere Bangla National Stadium,Dhaka
1249210,Test,2021,2021/06/02,New Zealand tour of England,1,New Zealand,England,draw,,"Lord's, London",London
1249211,Test,2021,2021/06/10,New Zealand tour of England,2,England,New Zealand,New Zealand,8 wickets,"Edgbaston, Birmingham",Birmingham
1249875,Test,2021,2021/06/18,ICC World Test Championship,,India,New Zealand,New Zealand,8 wickets,"The Rose Bowl, Southampton",Southampton
1252073,Test,2020/21,2021/03/21,Sri Lanka tour of West Indies,1,Sri Lanka,West Indies,draw,,Sir Vivian Richards Stadium,North Sound
1252074,Test,2020/21,2021/03/29,Sri Lanka tour of West Indies,2,West Indies,Sri Lanka,draw,,Sir Vivian Richards Stadium,North Sound
1255828,Test,2021,2021/04/21,Sri Lanka v Bangladesh,1,Sri Lanka,Bangladesh,draw,,Pallekele International Cricket Stadium,Pallekele
1255829,Test,2021,2021/04/29,Bangladesh tour of Sri Lanka,2,Sri Lanka,Bangladesh,Sri Lanka,209 runs,Pallekele International Cricket Stadium,Kandy
